"Address","Address_geo","lon","lat"
"105 Station Rd Cnr Powers St, Seven Hills NSW 2147","105 Station Rd  Seven Hills NSW 2147 Australia",150.94482,-33.774473
"Yangan Avenue, Beresfield NSW 2322","Yangan Avenue, Beresfield NSW 2322 Australia",151.6291077,-32.8090705
"M1 Southbound, Wyong NSW 2259","M1 Southbound, Wyong NSW 2259 Australia",151.4053935,-33.2540903
"741 George St, Windsor South NSW 2756","741 George St, Windsor South NSW 2756 Australia",150.7839799,-33.6387055
"1285-1289 Canterbury Rd Cnr Duncan, Punchbowl NSW 2196","1285-1289 Canterbury Rd  Punchbowl NSW 2196 Australia",151.0596341,-33.9314597
"150-152 Pacific Hwy, Tuggerah NSW 2259","150-152 Pacific Hwy, Tuggerah NSW 2259 Australia",151.4205961,-33.2992758
"2 Bridges Rd Cnr Newbridge Rd, Moorebank NSW 2170","2 Bridges Rd  Moorebank NSW 2170 Australia",150.93273,-33.9283774
"637 Forest Road, Peakhurst NSW 2210","637 Forest Road, Peakhurst NSW 2210 Australia",151.0687546,-33.9583766
"111-121 Falcon St, Crows Nest NSW 2065","111-121 Falcon St, Crows Nest NSW 2065 Australia",151.2060304,-33.8286801
"103 Sydemham Road, Marrickville NSW 2204","103 Sydemham Road, Marrickville NSW 2204 Australia",151.163393,-33.9101975
"6-8 Queen Elizabeth Dr, Armidale NSW 2350","6-8 Queen Elizabeth Dr, Armidale NSW 2350 Australia",151.6511207,-30.5035046
"16-38 Military Rd, Neutral Bay NSW 2089","16-38 Military Rd, Neutral Bay NSW 2089 Australia",151.2162998,-33.8290796
"Menai Rd Cnr Carter Rd, Menai NSW 2234","Menai Rd  Menai NSW 2234 Australia",151.0152707,-34.0179087
"172-174 Princes Highway, Albion Park Rail NSW 2527","172-174 Princes Highway, Albion Park Rail NSW 2527 Australia",150.7955406,-34.56128
"66-68 Cessnock Road, Neath NSW 2326","66-68 Cessnock Road, Neath NSW 2326 Australia",151.4141312,-32.826152
"237 Union St Cnr Three Chain Rd, Lismore South NSW 2480","237 Union St  Lismore South NSW 2480 Australia",153.2647394,-28.8204918
"351-357 Stoney Creek Rd, Kingsgrove NSW 2208","351-357 Stoney Creek Rd, Kingsgrove NSW 2208 Australia",151.0924768,-33.9513534
"96 Centre St, Casino NSW 2470","96 Centre St, Casino NSW 2470 Australia",153.0451922,-28.8654807
"Castlereagh Rd Cnr Lugard St, Penrith NSW 2750","Castlereagh Rd  Penrith NSW 2750 Australia",150.692474,-33.7405119
"917-923 Old Northern Rd, Dural NSW 2158","917-923 Old Northern Rd, Dural NSW 2158 Australia",151.0287492,-33.6831208
"38 Abbott Rd, Seven Hills NSW 2147","38 Abbott Rd, Seven Hills NSW 2147 Australia",150.9548624,-33.7668381
"1163 Mamre Rd, Kemps Creek NSW 2178","1163 Mamre Rd, Kemps Creek NSW 2178 Australia",150.7966309,-33.8696993
"66 Oxford St, Gateshead NSW 2290","66 Oxford St, Gateshead NSW 2290 Australia",151.6835265,-32.9783366
"244A Beardy Street, Armidale NSW 2350","244A Beardy Street, Armidale NSW 2350 Australia",151.6624053,-30.5127657
"153 Coreen Ave Cnr Castlereagh Rd, Penrith NSW 2750","153 Coreen Ave  Penrith NSW 2750 Australia",150.6926654,-33.7428922
"972 Hume Highway, Bass Hill NSW 2197","972 Hume Highway, Bass Hill NSW 2197 Australia",150.9912877,-33.8961497
"228 Edgar Street, Condell Park NSW 2200","228 Edgar Street, Condell Park NSW 2200 Australia",151.0125837,-33.9224335
"740 Hume Highway, Yagoona NSW 2199","740 Hume Highway, Yagoona NSW 2199 Australia",151.0114633,-33.9048797
"272 Princes Highway, Bomaderry NSW 2541","272 Princes Highway, Bomaderry NSW 2541 Australia",150.5951316,-34.8405552
"19 The Northern Rd, Luddenham NSW 2745","19 The Northern Rd, Luddenham NSW 2745 Australia",150.6900898,-33.8740734
"125 Dora Street, Morisset NSW 2264","125 Dora Street, Morisset NSW 2264 Australia",151.4815843,-33.1116066
"58 North Street, Nowra NSW 2541","58 North Street, Nowra NSW 2541 Australia",150.6010854,-34.8723566
"1 Dunn Road, Smeaton Grange NSW 2567","1 Dunn Road, Smeaton Grange NSW 2567 Australia",150.7563412,-34.0327499
"27-29 Amy Steet, Regents Park NSW 2143","27-29 Amy Steet, Regents Park NSW 2143 Australia",151.0268751,-33.8837053
"155-165 Chanter St, Berrigan NSW 2712","155-165 Chanter St, Berrigan NSW 2712 Australia",145.8015557,-35.6557616
"1190 Old Windsor Rd Near Miami St (, Parklea NSW 2768","1190 Old Windsor Rd Near Miami St (, Parklea NSW 2768 Australia",150.9386529,-33.7234674
"17 Mount St, Mount Druitt NSW 2770","17 Mount St, Mount Druitt NSW 2770 Australia",150.8244953,-33.7656167
"36 Mulgoa Road, Regentville NSW 2745","36 Mulgoa Road, Regentville NSW 2745 Australia",150.6660226,-33.7750402
"92 Mulgoa Road & Batt Street, Jamisontown NSW 2750","92 Mulgoa Road & Batt Street, Jamisontown NSW 2750 Australia",150.6795954,-33.7665561
"35 Alison Road, Wyong NSW 2259","35 Alison Road, Wyong NSW 2259 Australia",151.4211007,-33.2833934
"481 Luxford Road, Shalvey NSW 2770","481 Luxford Road, Shalvey NSW 2770 Australia",150.8052847,-33.729482
"3 Railway Pde, Kogarah NSW 2217","3 Railway Pde, Kogarah NSW 2217 Australia",151.1326345,-33.9624658
"Fairlight St Cnr Ramsay Rd, Five Dock NSW 2046","Fairlight St  Five Dock NSW 2046 Australia",151.1322258,-33.8698807
"Lot 6 Star Court, Cambridge Park NSW 2747","Lot 6 Star Court, Cambridge Park NSW 2747 Australia",150.7182201,-33.7403997
"59-63 Tudor St Cnr Gordon Ave, Hamilton NSW 2303","59-63 Tudor St  Hamilton NSW 2303 Australia",151.7507442,-32.9249577
"Cnr Dunheved Rd & Henry Lawson Dr, Werrington NSW 2747","Cnr Dunheved Rd & Henry Lawson Dr, Werrington NSW 2747 Australia",150.7389301,-33.7458349
"166 John St Cnr Gladstone St, Cabramatta NSW 2166","166 John St  Cabramatta NSW 2166 Australia",150.9285354,-33.894009
"Wordoo St Cnr Forrester St, St Marys NSW 2760","Wordoo St  St Marys NSW 2760 Australia",150.7752213,-33.7529885
"31 Princes Hwy, Albion Park Rail NSW 2527","31 Princes Hwy, Albion Park Rail NSW 2527 Australia",150.7880686,-34.5518147
"72-74 Clinton Street, Goulburn NSW 2580","72-74 Clinton Street, Goulburn NSW 2580 Australia",149.7135261,-34.7572892
"280-286 Canley Vale Rd, Canley Heights NSW 2166","280-286 Canley Vale Rd, Canley Heights NSW 2166 Australia",150.9241242,-33.8838593
"1370-1380 Camden Valley Hwy, Leppington NSW 2179","1370-1380 Camden Valley Hwy, Leppington NSW 2179 Australia",150.818266,-33.963319
"157 Orlando St, Coffs Harbour NSW 2450","157 Orlando St, Coffs Harbour NSW 2450 Australia",153.1307995,-30.2896906
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745","Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745 Australia",150.668863,-33.789914
"1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196","1618 Canterbury Road , Punchbowl NSW 2196 Australia",151.039866,-33.9342587
"625 Pittwater Road, Dee Why NSW 2099","625 Pittwater Road, Dee Why NSW 2099 Australia",151.282715,-33.7557896
"163 The Boulevarde (Cnr Pery St), Fairfield Heights NSW 2165","163 The Boulevarde , Fairfield Heights NSW 2165 Australia",150.9378262,-33.866546
"262 Byron Street, Inverell NSW 2360","262 Byron Street, Inverell NSW 2360 Australia",151.1180885,-29.7688118
"283 Manns Rd Cnr Merinee Rd, Gosford West NSW 2250","283 Manns Rd  Gosford West NSW 2250 Australia",151.3251074,-33.4167192
"1/155 Prospect Highway, Seven Hills NSW 2147","1/155 Prospect Highway, Seven Hills NSW 2147 Australia",150.9425493,-33.7692902
"1/158 Auburn Rd, Birrong NSW 2143","1/158 Auburn Rd, Birrong NSW 2143 Australia",151.0215165,-33.897395
"126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750","126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750 Australia",150.6547009,-33.7429882
