"Address","lat","lon","remoteness","dist_to_coast"
"85-87 John Street, Coonabarabran NSW 2357",-31.2723111,149.2771566,4.51,2.978003
"159 Mona Vale Rd (Cnr Putarri Av) (Clsd 16 Jun'16), St Ives NSW 2075",-33.7326774,151.156309,0,0.1360147
"30A Pacific Hwy, Gosford West NSW 2250",-30.9540696,152.8569582,3.66303,0.1843909
"63 Commercial St, Walla Walla NSW 2659",-35.7650253,146.9009255,1.9723232,2.356968
"7  Wyangan Avenue, Griffith NSW 2680",-34.2795359,146.042149,3.27,3.738583
"13-15 Village Road, SARATOGA NSW 2251",-33.4753558,151.3532147,NA,0.05830952
"6066 Wakool Road, Wakool NSW 2710",-35.4723185,144.4046749,4.0733094,2.424253
"43 Ferguson Street, Canowindra NSW 2804",-33.5621029,148.6657989,2.2623951,2.381197
"505 Campbelltown Road, Denham Court NSW 2565",-33.9826608,150.8466162,0.09195445,0.2780288
"1625 Yarramalong Road, Yarramalong NSW 2259",-33.2242259,151.2790376,1.6209837,0.254951
"6-10 MacKay Ave, Griffith NSW 2680",-34.290547,146.063931,3.27,3.725507
"1 Avenue of the Americas, Newington NSW 2127",-33.834006,151.0564605,NA,0.156205
"76 Hope Street, Warialda NSW 2402",-29.5410009,150.5768208,4.3227177,2.629924
"24-26 Gavenlock Road, Tuggerah NSW 2259",-33.3091958,151.4148602,0.1,0.09486832
"115-119 Hume Hwy, Lansvale NSW 2166",-33.8967021,150.9535967,0,0.2024846
"380 Pacific Hwy, Coffs Harbour NSW 2450",-30.3183188,153.0892889,1.9143404,0.03605551
"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146",-33.7868908,150.9464182,0,0.2701851
"160 Mount Darragh Rd, SOUTH PAMBULA NSW 2549",-36.9443857,149.8472359,4.6381626,0.06082762
"552 Pennant Hills Road, West Pennant Hills NSW 2125",-33.7468476,151.0507795,0,0.2213594
"2510 Silverdale Road, Wallacia NSW 2745",-33.8748179,150.6184097,0.4053062,0.5162364
"112-118 Caswell St, Peak Hill NSW 2869",-32.7265526,148.1914795,3.1884847,3.159272
"51 Lambton Road, Waratah NSW 2298",-32.9068911,151.7194346,0,0.05656854
"1 Bay Street, Port Macquarie NSW 2444",-31.4270481,152.8953403,1.62,0.02236068
"99 Jericho Road, Moorland NSW 2443",-31.7943785,152.6514819,2.3719804,0.08062258
"438 Crown St, West Wollongong NSW 2500",-34.4250438,150.872928,0.11,0.03
"603-611 Anzac Pde Cnr Snape St, Kingsford NSW 2032",-33.934352,151.237114,0,0.03
"269 Stewart Street, Bathurst NSW 2795",-33.4181477,149.5681035,0.79,1.630828
"103 Smith ST, Kempsey NSW 2440",-31.0753687,152.8444126,2.237895,0.1565247
"73-81 Marrickville Road, Marrickville NSW 2204",-33.9131635,151.1620938,0,0.04
"1542 Federal Highway Service Road, Sutton NSW 2620",-35.184608,149.2314356,0.41336682,1.096586
"86 Pittwater Rd, Manly NSW 2095",-33.7930688,151.285802,NA,0.01
"3 Railway Ave, Gunnedah NSW 2380",-30.9770675,150.2438264,2.42,2.425469
"90 Bathurst Road, Orange NSW 2800",-33.2917595,149.1106163,1.17,2.077619
"81 Aberdare Rd, ABERDARE NSW 2325",-32.8437052,151.3744109,0.343144,0.3560899
"5 Manilla Rd, ATTUNGA NSW 2345",-30.9289611,150.8456856,2.5763075,2.024846
"22 Station St, Gulgong NSW 2852",-32.3573437,149.5351528,2.7540667,2.102974
"269-275 Princes Highway, Corrimal NSW 2518",-34.3751906,150.8963512,0.11,0.02
"Corner Cox And Main Street, JUNEE NSW 2663",-34.8675057,147.58474,1.83,2.744923
"2399 Princes Highway, Bewong NSW 2540",-35.0858745,150.5332276,1.067024,0.1081665
"107 Anderson Drive, Tarro NSW 2322",-32.8076696,151.6588462,0.02,0.1612452
"129 Lagoon Street, Goulburn NSW 2580",-34.7460856,149.7327433,0.59,0.9220086
"153 Elizabeth Dr, Vincentia NSW 2540",-35.0701907,150.6756286,NA,0.01414214
"78 Great Western Hwy Cnr Ross St, Glenbrook NSW 2773",-33.7653915,150.6214483,0,0.554617
"82 Mayne Street, Gulgong NSW 2852",-32.3628881,149.5350289,2.56,2.097236
"Tweed Valley Way, CHINDERAH NSW 2487",-28.2609554,153.5213268,0.052028477,0.05
"24-42 King Georges Road, Wiley Park NSW 2195",-33.9194768,151.0668013,0,0.09848858
"48-52 Peisley Street, Orange NSW 2800",-33.2940538,149.1020681,1.17,2.086336
"295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160",-33.8353294,150.9851817,0,0.2080865
"61-63 Cowper Wharf Rd (Cnr Dowling St), Woolloomooloo NSW 2011",-33.8696027,151.2213098,NA,0.05656854
"54 Alice Street, Moree NSW 2400",-29.4716539,149.8433324,4.23,3.343067
"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387005,151.073646,0,0.2061553
"209-211 Rothery St, Bellambi NSW 2518",-34.3683389,150.910013,0.11,0.01
"142 Bay Rd, TOOWOON BAY NSW 2261",-33.3601664,151.4970077,0.1,0
"13-15 Pacific Highway, GATESHEAD NSW 2290",-32.9874345,151.692402,0,0.03605551
"125 Princes Highway & Fowles Road, Dapto NSW 2530",-34.748284,150.8017934,0.6427931,0.02828427
"51-55 River Street, Maclean NSW 2463",-29.4460937,153.2054879,2.0975082,0.16
"210 High Street, Wauchope NSW 2446",-31.4666689,152.7193037,1.9425302,0.1612452
"274 Georges River Rd, Croydon Park NSW 2233",-33.8968278,151.1031893,0,0.07810249
