"Address","lon","lat","nr_5km","dist_1","area_voronoi","eventDate"
"105 Station Rd Cnr Powers St, Seven Hills NSW 2147",150.94482,-33.774473,42,612.138932780493,1235152.64123905,"2016-6-1"
"Yangan Avenue, Beresfield NSW 2322",151.6291077,-32.8090705,9,839.939048869821,37612407.1520834,"2016-6-1"
"M1 Southbound, Wyong NSW 2259",151.4053935,-33.2540903,9,342.585633284487,44837333.774601,"2016-6-1"
"741 George St, Windsor South NSW 2756",150.7839799,-33.6387055,11,248.313836561424,8849239.05879784,"2016-6-1"
"1285-1289 Canterbury Rd Cnr Duncan, Punchbowl NSW 2196",151.0596341,-33.9314597,66,1135.62265116741,2722523.81294227,"2016-6-1"
"150-152 Pacific Hwy, Tuggerah NSW 2259",151.4205961,-33.2992758,13,34.6782127452117,788112.432365537,"2016-6-1"
"2 Bridges Rd Cnr Newbridge Rd, Moorebank NSW 2170",150.93273,-33.9283774,41,885.974526565336,1880903.3366025,"2016-6-1"
"637 Forest Road, Peakhurst NSW 2210",151.0687546,-33.9583766,53,118.582734959548,403502.50156939,"2016-6-1"
"111-121 Falcon St, Crows Nest NSW 2065",151.2060304,-33.8286801,27,951.666703527511,5705684.34816968,"2016-6-1"
"103 Sydemham Road, Marrickville NSW 2204",151.163393,-33.9101975,59,350.244542414951,643161.815694451,"2016-6-1"
"6-8 Queen Elizabeth Dr, Armidale NSW 2350",151.6511207,-30.5035046,12,611.959649812868,32820016.9636833,"2016-6-1"
"16-38 Military Rd, Neutral Bay NSW 2089",151.2162998,-33.8290796,22,290.238371800004,2350087.58852309,"2016-6-1"
"Menai Rd Cnr Carter Rd, Menai NSW 2234",151.0152707,-34.0179087,5,4129.14163337119,44530022.9596369,"2016-6-1"
"172-174 Princes Highway, Albion Park Rail NSW 2527",150.7955406,-34.56128,13,311.429597806057,1617132.18724348,"2016-6-1"
"66-68 Cessnock Road, Neath NSW 2326",151.4141312,-32.826152,8,1989.98783371056,18644410.5016841,"2016-6-1"
"237 Union St Cnr Three Chain Rd, Lismore South NSW 2480",153.2647394,-28.8204918,19,932.137542547845,80957984.4118598,"2016-6-1"
"351-357 Stoney Creek Rd, Kingsgrove NSW 2208",151.0924768,-33.9513534,69,985.964751359543,2186044.58870992,"2016-6-1"
"96 Centre St, Casino NSW 2470",153.0451922,-28.8654807,12,100.160790534545,193210.763705071,"2016-6-1"
"Castlereagh Rd Cnr Lugard St, Penrith NSW 2750",150.692474,-33.7405119,21,264.61251509939,10169793.5871815,"2016-6-1"
"917-923 Old Northern Rd, Dural NSW 2158",151.0287492,-33.6831208,9,1259.58959070941,15883452.5562502,"2016-6-1"
"38 Abbott Rd, Seven Hills NSW 2147",150.9548624,-33.7668381,37,431.752026316019,2110032.71826035,"2016-6-1"
"1163 Mamre Rd, Kemps Creek NSW 2178",150.7966309,-33.8696993,4,1036.24255331975,24588412.4063567,"2016-6-1"
"66 Oxford St, Gateshead NSW 2290",151.6835265,-32.9783366,23,1306.2594150169,2791505.32378697,"2016-6-1"
"244A Beardy Street, Armidale NSW 2350",151.6624053,-30.5127657,12,673.838375442745,1613901.48172396,"2016-6-1"
"153 Coreen Ave Cnr Castlereagh Rd, Penrith NSW 2750",150.6926654,-33.7428922,21,264.61251509939,1131785.9485538,"2016-6-1"
"972 Hume Highway, Bass Hill NSW 2197",150.9912877,-33.8961497,57,351.764493176736,2357315.37618191,"2016-6-1"
"228 Edgar Street, Condell Park NSW 2200",151.0125837,-33.9224335,46,696.858881815806,1500986.10517125,"2016-6-1"
"740 Hume Highway, Yagoona NSW 2199",151.0114633,-33.9048797,52,275.790893409098,1275869.70231223,"2016-6-1"
"272 Princes Highway, Bomaderry NSW 2541",150.5951316,-34.8405552,9,260.869155933414,1418752.28180373,"2016-6-1"
"19 The Northern Rd, Luddenham NSW 2745",150.6900898,-33.8740734,3,1084.30887548072,32338011.58478,"2016-6-1"
"125 Dora Street, Morisset NSW 2264",151.4815843,-33.1116066,8,641.214804314096,3036682.86621937,"2016-6-1"
"58 North Street, Nowra NSW 2541",150.6010854,-34.8723566,14,476.466116574751,3267049.31085902,"2016-6-1"
"1 Dunn Road, Smeaton Grange NSW 2567",150.7563412,-34.0327499,11,1492.01912642267,3681528.5053587,"2016-6-1"
"27-29 Amy Steet, Regents Park NSW 2143",151.0268751,-33.8837053,61,510.795420419895,1808867.30056104,"2016-6-1"
"155-165 Chanter St, Berrigan NSW 2712",145.8015557,-35.6557616,2,1653.38858807112,351334448.090407,"2016-6-1"
"1190 Old Windsor Rd Near Miami St (, Parklea NSW 2768",150.9386529,-33.7234674,19,1689.50424607465,4987627.11727285,"2016-6-1"
"17 Mount St, Mount Druitt NSW 2770",150.8244953,-33.7656167,22,231.487515627106,1007473.74944472,"2016-6-1"
"36 Mulgoa Road, Regentville NSW 2745",150.6660226,-33.7750402,18,1084.58156781856,5055017.41377974,"2016-6-1"
"92 Mulgoa Road & Batt Street, Jamisontown NSW 2750",150.6795954,-33.7665561,20,504.649350753552,2695371.90510458,"2016-6-1"
"35 Alison Road, Wyong NSW 2259",151.4211007,-33.2833934,14,443.200671115574,4802627.39883995,"2016-6-1"
"481 Luxford Road, Shalvey NSW 2770",150.8052847,-33.729482,16,1034.34681517791,12471681.5770087,"2016-6-1"
"3 Railway Pde, Kogarah NSW 2217",151.1326345,-33.9624658,50,426.92792546443,936152.4409495,"2016-6-1"
"Fairlight St Cnr Ramsay Rd, Five Dock NSW 2046",151.1322258,-33.8698807,54,591.188230853797,1188185.94102633,"2016-6-1"
"Lot 6 Star Court, Cambridge Park NSW 2747",150.7182201,-33.7403997,18,1690.84332603514,8922699.40250364,"2016-6-1"
"59-63 Tudor St Cnr Gordon Ave, Hamilton NSW 2303",151.7507442,-32.9249577,28,475.984537165768,984159.174162902,"2016-6-1"
"Cnr Dunheved Rd & Henry Lawson Dr, Werrington NSW 2747",150.7389301,-33.7458349,22,396.247864588394,4911940.45010567,"2016-6-1"
"166 John St Cnr Gladstone St, Cabramatta NSW 2166",150.9285354,-33.894009,59,601.847957069678,968320.973888397,"2016-6-1"
"Wordoo St Cnr Forrester St, St Marys NSW 2760",150.7752213,-33.7529885,21,998.575308047445,4520036.73330069,"2016-6-1"
"31 Princes Hwy, Albion Park Rail NSW 2527",150.7880686,-34.5518147,13,247.327251489134,1977836.06162226,"2016-6-1"
"72-74 Clinton Street, Goulburn NSW 2580",149.7135261,-34.7572892,17,52.6520891335814,222980.043881796,"2016-6-1"
"280-286 Canley Vale Rd, Canley Heights NSW 2166",150.9241242,-33.8838593,56,416.712391161159,1371234.81451952,"2016-6-1"
"1370-1380 Camden Valley Hwy, Leppington NSW 2179",150.818266,-33.963319,9,425.062247270252,8074487.33848047,"2016-6-1"
"157 Orlando St, Coffs Harbour NSW 2450",153.1307995,-30.2896906,9,683.283927761012,1489345.95080504,"2016-6-1"
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745",150.668863,-33.789914,11,1670.6227086835,11836574.4312243,"2016-6-1"
"1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196",151.039866,-33.9342587,59,165.474446304499,1335796.69164163,"2016-6-1"
"625 Pittwater Road, Dee Why NSW 2099",151.282715,-33.7557896,21,881.510183223125,1677562.296972,"2016-6-1"
"163 The Boulevarde (Cnr Pery St), Fairfield Heights NSW 2165",150.9378262,-33.866546,55,619.392423673417,1222725.33567536,"2016-6-1"
"262 Byron Street, Inverell NSW 2360",151.1180885,-29.7688118,9,323.120307639817,441536.373967648,"2016-6-1"
"283 Manns Rd Cnr Merinee Rd, Gosford West NSW 2250",151.3251074,-33.4167192,10,1175.84914612627,13047339.893706,"2016-6-1"
"1/155 Prospect Highway, Seven Hills NSW 2147",150.9425493,-33.7692902,40,32.3162746234486,78495.2376075387,"2016-6-1"
"1/158 Auburn Rd, Birrong NSW 2143",151.0215165,-33.897395,56,1186.84760386982,1988393.42321603,"2016-6-1"
"126-128 Old Bathurst Road & Corner Russell Street, Emu Plains NSW 2750",150.6547009,-33.7429882,16,115.893770719461,8684811.29362617,"2016-6-1"
"234 Hamilton Road, Fairfield West NSW 2165",150.9372457,-33.8721091,55,619.392423673417,1128972.42755312,"2016-6-1"
"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146",150.9464182,-33.7868908,42,1178.43765664599,2133653.28842376,"2016-6-1"
"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145",150.9578445,-33.8018388,43,248.324574211342,1566612.36781263,"2016-6-1"
"151 Prospect Hwy & Corner Station Road, Seven Hills NSW 2147",150.9427322,-33.7690421,39,32.3162746234486,319465.809548408,"2016-6-1"
"49-51 Great Western Highway, Emu Plains NSW 2750",150.6762172,-33.7465302,20,1525.18196583113,5167523.41429955,"2016-6-1"
"2 Alison Rd, Randwick NSW 2031",151.2319938,-33.9065628,48,261.251953750658,1316948.66943169,"2016-6-1"
"73-75 Dawson St, Lismore NSW 2480",153.2809598,-28.8089415,20,97.4046682999488,174010.583596408,"2016-6-1"
"161 Maybe Street, Bombala NSW 2632",149.237458,-36.9124026,2,493.736732278234,1033060837.06745,"2016-6-1"
"Docker St Cnr Edward St, Wagga Wagga NSW 2650",147.3567697,-35.1155881,20,43.8104113978199,213193.105164841,"2016-6-1"
"487 Princes Hwy, Kirrawee NSW 2232",151.0808877,-34.029236,20,263.20918049332,536844.964263678,"2016-6-1"
"57 Winnima Way, Berkeley NSW 2056",150.8462221,-34.4801808,17,725.902411745221,8747437.92562693,"2016-6-1"
"12 Verner Street, Goulburn NSW 2580",149.7176653,-34.7582597,17,344.897180194985,3205094.12223551,"2016-6-1"
"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",150.9231685,-33.7818566,40,429.320038781016,1571385.64668202,"2016-6-1"
"Corner Richmond Road & Dublin Street, Plumpton NSW 2761",145.0065616,-37.8194848,1,8097.36465686332,NA,"2016-6-1"
"54 - 56 Windsor Road, Kellyville NSW 2155",150.9569658,-33.7122416,11,193.176040634782,1638780.03211617,"2016-6-1"
"255 -257 Old Northern Road, Castle Hill NSW 2154",151.0035815,-33.734803,17,3027.81937131601,15009155.0354289,"2016-6-1"
"400 Luxford Road, Lethbridge Park NSW 2770",150.7983694,-33.7368018,18,1034.34681517791,7936937.01606059,"2016-6-1"
"240 Prospect Highway, Seven Hills NSW 2147",150.9332713,-33.7762584,39,1087.90055801578,1735691.95465893,"2016-6-1"
