POA,resident_population,seifa_score
2600,6898,1138.051308
2601,4792,1146.237828
2602,28570,1078.553588
2603,8622,1122.536453
2604,8655,1089.909789
2605,11323,1114.593599
2606,8166,1072.5706
2607,13466,1107.177527
2609,901,929.92637
2611,23237,1092.616438
2612,14652,1094.86485
2614,19099,1087.834324
2615,43723,1065.345147
2617,29668,1091.404015
2900,1481,1071.057157
2902,15433,1071.950882
2903,9577,1070.72822
2904,13015,1113.122907
2905,29198,1064.758245
2906,18150,1080.124026
2911,568,1144.372017
2912,7143,1122.183414
2913,25400,1106.319462
2914,13819,1151.287032
2000,22761,1017.74775
2007,7113,1015.816529
2008,6299,1056.314912
2009,11625,1083.504418
2010,25402,1069.97826
2011,18045,1052.529081
2015,8431,1109.052536
2016,12038,1012.419352
2017,14472,986.124683
2018,15397,977.4375363
2019,8928,1033.398545
2020,10178,1020.799486
2021,14258,1118.620904
2022,11586,1083.420511
2023,10768,1144.752987
2024,11088,1107.937753
2025,7173,1124.451621
2026,30427,1097.680184
2027,7316,1118.216501
2028,4682,1120.462468
2029,9392,1111.320405
2030,13893,1143.59595
2031,32331,1098.513869
2032,15266,1019.966474
2033,10970,1074.143466
2034,19101,1086.052357
2035,33222,1043.705368
2036,26903,1002.328793
2037,13834,1031.363126
2038,8665,1108.270232
2039,7924,1133.753071
2040,20862,1083.283879
2041,14747,1117.792308
2042,17727,1084.523196
2043,6848,1114.851862
2044,7189,1045.472107
2045,6651,1073.28741
2046,25180,1076.393513
2047,11374,1114.881894
2048,7699,1092.845182
2049,10449,1060.480365
2050,6705,1107.563376
2060,12266,1120.475392
2061,5683,1107.855182
2062,6778,1123.339611
2063,5928,1155.538068
2064,8626,1094.838816
2065,27165,1129.659854
2066,27635,1128.395048
2067,22633,1080.566616
2068,15903,1128.54663
2069,13298,1152.510627
2070,12277,1149.516642
2071,12151,1143.651107
2072,6598,1135.214789
2073,15737,1160.451168
2074,20930,1151.538108
2075,18635,1164.410458
2076,23770,1136.852376
2077,34909,1062.018121
2079,7113,1110.433123
2080,1575,1096.018481
2081,5163,1118.815213
2082,5649,1103.202799
2083,1549,1045.239703
2084,3531,1123.512441
2085,10705,1135.693159
2086,13183,1139.678506
2087,12311,1118.878777
2088,27462,1137.606549
2089,11090,1126.361366
2090,13040,1134.902934
2092,6726,1146.925522
2093,21610,1116.132767
2094,5491,1125.20147
2095,15066,1108.716481
2096,13881,1110.551709
2097,14391,1111.001405
2099,36707,1055.741008
2100,19453,1091.917355
2101,17993,1081.553551
2102,6135,1117.005027
2103,10175,1092.625097
2104,3089,1115.264515
2105,1841,1137.902316
2106,9030,1114.331939
2107,14479,1127.429519
2108,1900,1116.905917
2109,1788,933.262102
2110,9806,1130.83063
2111,13430,1087.571594
2112,27782,1066.612582
2113,16810,1071.882075
2114,21484,1065.137956
2115,9479,1000.032125
2116,6221,1005.45649
2117,19025,1035.654133
2118,21556,1083.779526
2119,10898,1157.205273
2120,19628,1121.04376
2121,24646,1110.581797
2122,28516,1063.33871
2125,15953,1153.512805
2126,18805,1142.59306
2127,8149,1132.327904
2128,3171,993.4799909
2130,6588,1060.988828
2131,22183,1008.947744
2132,10387,1044.024994
2133,10722,1015.202545
2134,12475,1007.888605
2135,23100,1065.651589
2136,6734,1037.745261
2137,24008,1084.198704
2138,13521,1090.049305
2140,12528,1019.152194
2141,25496,959.3033105
2142,22514,915.2800634
2143,7457,920.2942062
2144,33109,887.596477
2145,71314,1005.303425
2146,15675,1016.900386
2147,35085,996.7604836
2148,58645,961.3025711
2150,24845,990.0240813
2151,20222,1048.233601
2152,10224,1046.720273
2153,52436,1111.128199
2154,37906,1130.585965
2155,44018,1149.797386
2156,12345,1143.376559
2157,3706,1084.748926
2158,8277,1117.230927
2159,4538,1113.234493
2160,32880,927.2642314
2161,28263,893.5112791
2162,17015,902.3641635
2163,8773,790.3657348
2164,18387,923.5826297
2165,39493,853.3560604
2166,49726,814.5812645
2167,7547,1001.013338
2168,41870,885.9909767
2170,95108,949.4824862
2171,24387,1058.291263
2172,2265,1143.096018
2173,13258,1086.381882
2174,423,944.5389377
2175,1935,1007.326213
2176,46068,973.0542718
2177,15203,907.7893426
2178,4819,1042.539473
2179,5410,969.333247
2190,24717,919.3902302
2191,6035,980.7373814
2192,12567,918.3145589
2193,13981,1014.202045
2194,21239,916.8458737
